目	成り立ち象形文字です。「人の目」の象形から「目」という漢字が成り立ちました。人の目の形を90度回転させれば、「目」という漢字になりますね。
風	成り立ち会意兼形声文字です(虫+凡)。甲骨文では「風をはらむ(受ける)帆」の象形(「かぜ」の意味)でしたが、後に、「風に乗る、たつ(辰)」の象形が追加され、「かぜ」を意味する「風」という漢字が成り立ちました。
皇	成り立ち会意兼形声文字です(白+王)。「光を放つ日」の象形と「支配権の象徴として用いられたまさかり(斧)」の象形から、「君主」、「王」、「皇帝」、「美しい」を意味する「皇」という漢字が成り立ちました。
后	成り立ち会意文字です(人+口)。「じっとしている人」の象形と「口」の象形から、命令を発する人、すなわち、「君主(きみ)」を意味する「后」という漢字が成り立ちました。
視	成り立ち形声文字です(示+見)。「神にいけにえを捧げる台」の象形(「指(シ)」に通じ(同じ読みを持つ「指」と同じ意味を持つようになって)、「ゆびさす」の意味)と「大きな目の人」の象形から、「1点に視点を集中させてみる」を意味する「視」という漢字が成り立ちました。※「視」は「視」の旧字(以前に使われていた字)です。※「視」は「視」の略字です。
善	成り立ち会意文字です(羊+言+言)。「ひつじの首」の象形と「2つの取っ手のある刃物の象形と口の象形」(「原告と被告の発言」の意味)から、羊を神のいけにえとして、両者がよい結論を求める事を意味し、そこから、「よい」を意味する「善」という漢字が成り立ちました。
著	成り立ち会意兼形声文字です(艸+者(者))。「並び生えた草」の象形と「台上にしばを集め積んで火をたく」象形(「多くのものを集める」の意味)から、草の繊維でつくられた衣服を集め、身に付ける、「きる」の意味と、多くのものを集め、はっきりした形に「あらわす」、「あきらかにする」を意味する「著」という漢字が成り立ちました。※「著」は「著」の旧字(以前に使われていた字)です。※「著」は「著」の略字です。※「著」は「着」の旧字(以前に使われていた字)です。
幕	成り立ち会意兼形声文字です(莫+巾)。「草むらの象形と太陽の象形」(太陽が草原に没したさまから、「ない・覆い隠す」の意味)と「頭に巻く布きれをひもにつけて帯にさしこむ」象形から、「覆う為の布(まく)」を意味する「幕」という漢字が成り立ちました。
映	成り立ち形声文字です(日+央)。「太陽」の象形と「首かせをつけられた人」の象形(首かせが中央にある事から、「まんなか」の意味だが、ここでは、「亢」に通じ(「亢」と同じ意味を持つようになって)、「もりあがる」の意味)から、「他から光をうけてそのものが本来持つ色彩がもりあがりはっきり見える(はえる)」を意味する「映」という漢字が成り立ちました。
孝	成り立ち会意文字です(子+老の省略形)。「腰を曲げてつえをつく老人」の象形と「頭部が大きく手足のなよやかな乳児」の象形から、年寄りをささえる子を意味し、そこから、「親に尽くす」を意味する「孝」という漢字が成り立ちました。
奏	成り立ち会意文字です。「裂いた獣」の象形と「両手」の象形から、ある物を両手で寄せながら、おしすすめる事を意味し、そこから、「差し上げる」を意味する「奏」という漢字が成り立ちました。
蚕	成り立ち甲骨文は「蚕(かいこ)」の象形。篆文は会意兼形声文字。「座った人が顔をそむける象形と鼻や口から吐く息の象形」(「かくれる」の意味)と「頭が大きくグロテスクなまむし」の象形から、糸を吐いて自身を隠し、まゆを作る、「かいこ」を意味する「蚕」という漢字が成り立ちました。※「蚕」は「蠶」の略字です。※「蠶」は「蚕」の旧字(以前に使われていた字)です。
晴	成り立ち会意兼形声文字です。「太陽」の象形(「太陽」の意味)と「草・木が地上に生じてきた象形と井げたの中の染料の象形」(「青い草色の染料」、「青く澄み切る」の意味)から、空が澄み切って太陽が見える「はれる」を意味する「晴」という漢字が成り立ちました。※「晴」は「晴」の旧字(以前に使われていた字)です。
